Date,Open,High,Low,Close,Adj Close,Volume
2019-08-13,55.535000,55.700001,55.105000,55.549999,55.549999,1605800
2019-08-14,55.430000,55.445000,54.419998,54.549999,54.549999,1505600
2019-08-15,54.599998,54.994999,54.490002,54.869999,54.869999,1037400
2019-08-16,55.009998,55.375000,54.645000,55.250000,55.250000,1545000
2019-08-19,55.154999,55.375000,54.439999,54.439999,54.439999,1030400
2019-08-20,54.845001,54.930000,54.459999,54.695000,54.695000,1340800
2019-08-21,55.000000,55.000000,54.650002,54.674999,54.674999,1746000
2019-08-22,53.959999,54.000000,52.645000,52.680000,52.680000,2930400
2019-08-23,53.380001,54.169998,52.869999,53.070000,53.070000,4554000
2019-08-26,54.525002,54.590000,53.380001,53.500000,53.500000,4370400
2019-08-27,53.650002,54.279999,53.645000,54.000000,54.000000,2682800
2019-08-28,53.834999,53.834999,53.174999,53.470001,53.470001,1335800
2019-08-29,53.305000,53.654999,53.099998,53.470001,53.470001,1043000
2019-08-30,53.915001,54.235001,53.759998,53.900002,53.900002,1535000
2019-09-03,53.320000,53.369999,52.474998,52.505001,52.505001,1516400
2019-09-04,53.459999,53.459999,52.665001,52.669998,52.669998,3260400
2019-09-05,53.005001,53.180000,51.470001,51.785000,51.785000,4577800
2019-09-06,51.994999,52.790001,51.994999,52.154999,52.154999,3264600
2019-09-09,52.174999,52.880001,52.000000,52.165001,52.165001,1929200
2019-09-10,52.340000,52.340000,51.615002,51.865002,51.865002,1406800
2019-09-11,52.240002,52.610001,52.025002,52.500000,52.500000,2880400
2019-09-12,53.095001,53.160000,52.325001,52.459999,52.459999,2781000
2019-09-13,52.750000,53.040001,52.375000,52.485001,52.485001,1604600
2019-09-16,52.035000,52.294998,51.689999,51.924999,51.924999,1402000
2019-09-17,51.500000,52.165001,51.275002,51.930000,51.930000,992200
2019-09-18,51.500000,51.869999,51.084999,51.455002,51.455002,1217600
2019-09-19,51.255001,51.755001,51.025002,51.275002,51.275002,1427600
2019-09-20,56.040001,56.490002,55.755001,56.090000,56.090000,6198000
2019-09-23,58.500000,59.240002,57.730000,59.180000,59.180000,4681600
2019-09-24,58.799999,59.285000,57.845001,57.910000,57.910000,3587200
2019-09-25,57.500000,57.520000,56.715000,57.505001,57.505001,4884200
2019-09-26,58.740002,59.430000,58.340000,59.020000,59.020000,2947000
2019-09-27,59.740002,59.750000,57.790001,58.250000,58.250000,2607800
2019-09-30,57.810001,58.000000,56.779999,57.049999,57.049999,2002800
2019-10-01,57.430000,57.529999,56.639999,57.419998,57.419998,1517300
2019-10-02,56.770000,57.000000,56.320000,56.470001,56.470001,1754600
2019-10-03,56.720001,57.639999,56.470001,57.619999,57.619999,1785700
2019-10-04,55.849998,56.000000,54.660000,55.220001,55.220001,2907600
2019-10-07,54.930000,55.840000,54.849998,55.810001,55.810001,2183800
2019-10-08,55.639999,55.939999,55.549999,55.930000,55.930000,2535600
2019-10-09,56.799999,57.189999,56.700001,56.779999,56.779999,1312100
2019-10-10,56.330002,56.430000,55.740002,56.419998,56.419998,1713500
2019-10-11,56.590000,56.840000,55.869999,56.040001,56.040001,1011500
2019-10-14,55.840000,55.980000,55.360001,55.810001,55.810001,830200
2019-10-15,56.209999,57.259998,55.779999,57.029999,57.029999,1673000
2019-10-16,56.919998,57.549999,56.540001,57.330002,57.330002,1655300
2019-10-17,57.529999,58.230000,57.529999,57.700001,57.700001,1495100
2019-10-18,57.840000,58.090000,56.970001,57.070000,57.070000,1143700
2019-10-21,57.270000,58.779999,57.130001,58.610001,58.610001,1195900
2019-10-22,58.919998,59.400002,58.650002,58.779999,58.779999,1551500
2019-10-23,58.900002,59.380001,58.820000,59.369999,59.369999,1834000
2019-10-24,59.330002,59.950001,59.169998,59.930000,59.930000,2076000
2019-10-25,59.669998,60.380001,59.380001,60.099998,60.099998,2172400
2019-10-28,60.490002,60.810001,60.049999,60.090000,60.090000,1429000
2019-10-29,60.160000,60.970001,60.160000,60.750000,60.750000,1546800
2019-10-30,60.750000,61.259998,60.480000,61.230000,61.230000,1533700
2019-10-31,60.810001,61.240002,60.669998,61.090000,61.090000,2153700
2019-11-01,61.700001,61.770000,60.990002,61.570000,61.570000,1558500
2019-11-04,61.570000,61.820000,61.060001,61.639999,61.639999,1164100
2019-11-05,61.750000,61.950001,60.930000,60.990002,60.990002,2050500
2019-11-06,61.320000,62.189999,60.860001,62.110001,62.110001,1077900
2019-11-07,62.799999,63.009998,62.169998,62.270000,62.270000,936700
2019-11-08,62.130001,62.400002,61.740002,61.810001,61.810001,1119700
2019-11-11,61.910000,62.400002,61.810001,61.849998,61.849998,575000
2019-11-12,61.910000,62.240002,61.540001,61.570000,61.570000,1017500
2019-11-13,61.299999,61.880001,61.070000,61.500000,61.500000,961600
